Solyc12g006940.2	17172
Gene	P-Value	Binary
Solyc11g071470.1	0.0015309400947513588	0
Solyc03g058960.1	0.0015347512222147052	0
Solyc03g093170.1	0.0015384789336411748	0
Solyc02g081750.1	0.0015403449792055187	0
Solyc09g037080.3	0.001542212485142557	0
Solyc02g150124.1	0.0015691841303169406	0
Solyc12g009520.2	0.001613147855738908	0
Solyc07g014680.4	0.001615392854952364	0
Solyc12g013770.3	0.0016230692873345838	0
Solyc01g018010.2	0.0016310411784559895	0
Solyc07g005420.2	0.00170177972057474	0
Solyc11g068893.1	0.0017041265567091929	0
Solyc02g150150.1	0.0017053007504338551	0
Solyc06g068510.1	0.0017053007504338551	0
Solyc09g010680.3	0.0017053007504338551	0
Solyc10g006680.2	0.0017053007504338551	0
Solyc00g500256.1	0.001706475461350752	0
Solyc01g097860.4	0.001706475461350752	0
Solyc03g007240.3	0.001706475461350752	0
Solyc01g057020.3	0.001706475461350752	0
Solyc01g100510.5	0.001706475461350752	0
Solyc01g110970.4	0.001706475461350752	0
Solyc01g073910.5	0.001706475461350752	0
Solyc02g070940.1	0.001706475461350752	0
Solyc01g007890.3	0.001706475461350752	0
Solyc03g034180.3	0.001706475461350752	0
Solyc04g009360.3	0.001706475461350752	0
Solyc03g095320.1	0.001706475461350752	0
Solyc04g072530.2	0.001706475461350752	0
Solyc04g054370.1	0.001706475461350752	0
Solyc06g073700.3	0.001706475461350752	0
Solyc08g077250.4	0.001706475461350752	0
Solyc06g069790.5	0.001706475461350752	0
Solyc07g064640.3	0.001706475461350752	0
Solyc12g043060.1	0.001706475461350752	0
Solyc12g011320.2	0.001706475461350752	0
Solyc10g074500.2	0.001706475461350752	0
Solyc12g007130.2	0.001706475461350752	0
Solyc12g009860.3	0.001706475461350752	0
Solyc06g009420.4	0.0017198035970340752	0
Solyc05g041700.1	0.0017305513159730423	0
Solyc07g021170.3	0.0017460394051414918	0
Solyc06g053387.1	0.00177521650128663	0
Solyc10g075060.3	0.0017765253730037665	0
Solyc12g056995.2	0.0017765253730037665	0
Solyc12g044190.3	0.0017924328209472584	0
Solyc06g084825.1	0.0018709678788925244	0
Solyc05g026590.2	0.0018735117910492613	0
Solyc12g006080.3	0.001892689953820501	0
Solyc08g069095.1	0.0018952235349408966	0
Solyc01g065570.2	0.0018990714706923501	0
Solyc06g074960.4	0.0018990714706923501	0
Solyc02g014115.1	0.0019003552135770665	0
Solyc02g085937.2	0.0019003552135770665	0
Solyc01g005130.3	0.0019003552135770665	0
Solyc01g109580.5	0.0019003552135770665	0
Solyc02g063350.1	0.0019003552135770665	0
Solyc02g087650.5	0.0019003552135770665	0
Solyc02g087720.1	0.0019003552135770665	0
Solyc02g083410.4	0.0019003552135770665	0
Solyc02g083790.4	0.0019003552135770665	0
Solyc02g093010.3	0.0019003552135770665	0
Solyc01g090410.3	0.0019003552135770665	0
Solyc04g082690.1	0.0019003552135770665	0
Solyc03g044300.3	0.0019003552135770665	0
Solyc05g006390.1	0.0019003552135770665	0
Solyc05g006420.3	0.0019003552135770665	0
Solyc06g005790.3	0.0019003552135770665	0
Solyc07g053590.5	0.0019003552135770665	0
Solyc08g008110.3	0.0019003552135770665	0
Solyc09g064450.3	0.0019003552135770665	0
Solyc06g074890.1	0.0019003552135770665	0
Solyc06g053870.5	0.0019003552135770665	0
Solyc08g078220.2	0.0019003552135770665	0
Solyc09g066000.1	0.0019003552135770665	0
Solyc12g011010.2	0.0019003552135770665	0
Solyc11g066360.2	0.0019003552135770665	0
Solyc10g005820.3	0.0019003552135770665	0
Solyc11g006130.2	0.0019003552135770665	0
Solyc12g015680.1	0.0019003552135770665	0
Solyc10g006860.5	0.0019003552135770665	0
Solyc00g005285.2	0.0019232772350892622	0
Solyc04g051475.1	0.0019913120634811217	0
Solyc05g013970.4	0.001991807449322516	0
Solyc01g106180.3	0.0019959024623715954	0
Solyc10g083940.1	0.0020020187252309295	0
Solyc03g093440.4	0.0020033595998062365	0
Solyc11g068990.3	0.0020033595998062365	0
Solyc05g017790.1	0.002046455182268477	0
Solyc12g035400.2	0.0020988987679048166	0
Solyc04g071805.1	0.0021058822208749775	0
Solyc01g094230.4	0.0021128802037974222	0
